"ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_FONTE"
189,MCOM,MINISTÉRIO DAS COMUNICAÇÕES,121,ANATEL,AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,121,ANATEL,Agência Nacional de Telecomunicações,SIORG
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",110,AEB,AGÊNCIA ESPACIAL BRASILEIRA,20402,AEB,AGENCIA ESPACIAL BRASILEIRA - AEB,SIAFI
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",24000,MCTI,"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVAÇÕES",SIAFI
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",4,CNPQ,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,20501,CNPQ,CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO,SIAFI
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",23,CNEN,COMISSÃO NACIONAL DE ENERGIA NUCLEAR,20301,CNEN,COMISSAO NACIONAL DE ENERGIA NUCLEAR,SIAFI
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",4,CNPQ,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,40501,CNPQ,CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO,SIAPE
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",110,AEB,AGÊNCIA ESPACIAL BRASILEIRA,21300,AEB,AGENCIA ESPACIAL BRASILEIRA,SIAPE
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",23,CNEN,COMISSÃO NACIONAL DE ENERGIA NUCLEAR,40301,CNEN,COMISSAO NACIONAL DE ENERGIA NUCLEAR,SIAPE
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",40108,MCTIC,MINISTERIO DA CIENCIA E TECNOLOGIA,SIAPE
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",110,AEB,AGÊNCIA ESPACIAL BRASILEIRA,110,AEB,Agência Espacial Brasileira,SIORG
